"";"Year";"Measurement";"Volume (mg/kg)";"Unit";"Sector";"Volume (kg)";"Biomass (tonnes)"
"1";2012;"1st and 2nd gen cephalosporins";5,6195476872505;"mg/kg biomass";"AC";3861,88053;687222,663625
"2";2013;"1st and 2nd gen cephalosporins";5,52094349978004;"mg/kg biomass";"AC";3815,3700515;691072,106
"3";2014;"1st and 2nd gen cephalosporins";5,10498358179572;"mg/kg biomass";"AC";3541,391805;693712,672775
"4";2015;"1st and 2nd gen cephalosporins";5,16482829824812;"mg/kg biomass";"AC";3601,22628;697259,632275
"5";2016;"1st and 2nd gen cephalosporins";4,58244871827846;"mg/kg biomass";"AC";3217,0311255;702033,197375
"6";2017;"1st and 2nd gen cephalosporins";3,92383229025319;"mg/kg biomass";"AC";2765,4682525;704787,577025
"7";2018;"1st and 2nd gen cephalosporins";4,15057645117076;"mg/kg biomass";"AC";2938,98486;708090,766325
"8";2019;"1st and 2nd gen cephalosporins";3,83941704635938;"mg/kg biomass";"AC";2734,15484;712127,598275
"9";2020;"1st and 2nd gen cephalosporins";2,57774367691693;"mg/kg biomass";"AC";1848,1199675;716952,57525
"10";2021;"1st and 2nd gen cephalosporins";2,60694772827213;"mg/kg biomass";"AC";1876,39315;719766,31125
"11";2012;"Aminoglycosides";0,027251701946517;"mg/kg biomass";"AC";18,7279872;687222,663625
"12";2013;"Aminoglycosides";0,0205201890408814;"mg/kg biomass";"AC";14,180930256;691072,106
"13";2014;"Aminoglycosides";0,0165160934918024;"mg/kg biomass";"AC";11,45742336;693712,672775
"14";2015;"Aminoglycosides";0,0107826137237711;"mg/kg biomass";"AC";7,51828128;697259,632275
"15";2016;"Aminoglycosides";0,0221181781973562;"mg/kg biomass";"AC";15,52769536;702033,197375
"16";2017;"Aminoglycosides";0,0227589810644903;"mg/kg biomass";"AC";16,04024712;704787,577025
"17";2018;"Aminoglycosides";0,0228399965218258;"mg/kg biomass";"AC";16,17279064;708090,766325
"18";2019;"Aminoglycosides";0,0147886862207145;"mg/kg biomass";"AC";10,5314316;712127,598275
"19";2020;"Aminoglycosides";0,0131925262653557;"mg/kg biomass";"AC";9,45841568;716952,57525
"20";2021;"Aminoglycosides";0,0121379000148362;"mg/kg biomass";"AC";8,73645152;719766,31125
"21";2012;"Trimethoprim & Sulphonam";3,01573132217144;"mg/kg biomass";"AC";2072,478912;687222,663625
"22";2013;"Trimethoprim & Sulphonam";3,08785648367639;"mg/kg biomass";"AC";2133,9314832;691072,106
"23";2014;"Trimethoprim & Sulphonam";2,0307618748907;"mg/kg biomass";"AC";1408,765248;693712,672775
"24";2015;"Trimethoprim & Sulphonam";2,36069254522799;"mg/kg biomass";"AC";1646,015616;697259,632275
"25";2016;"Trimethoprim & Sulphonam";2,29389278059993;"mg/kg biomass";"AC";1610,3888832;702033,197375
"26";2017;"Trimethoprim & Sulphonam";2,09213664722086;"mg/kg biomass";"AC";1474,5119184;704787,577025
"27";2018;"Trimethoprim & Sulphonam";2,37178193512718;"mg/kg biomass";"AC";1679,436888;708090,766325
"28";2019;"Trimethoprim & Sulphonam";2,41330908584776;"mg/kg biomass";"AC";1718,5840032;712127,598275
"29";2020;"Trimethoprim & Sulphonam";2,50190387415029;"mg/kg biomass";"AC";1793,7464256;716952,57525
"30";2021;"Trimethoprim & Sulphonam";2,70860563258961;"mg/kg biomass";"AC";1949,5630848;719766,31125
"31";2012;"1st and 2nd gen cephalosporins";3,03784192591645;"mg/kg biomass";"HC";2087,67382;687222,663625
"32";2013;"1st and 2nd gen cephalosporins";3,15092835985483;"mg/kg biomass";"HC";2177,5186975;691072,106
"33";2014;"1st and 2nd gen cephalosporins";3,12066615611929;"mg/kg biomass";"HC";2164,84566;693712,672775
"34";2015;"1st and 2nd gen cephalosporins";3,11638533828529;"mg/kg biomass";"HC";2172,929695;697259,632275
"35";2016;"1st and 2nd gen cephalosporins";3,09117599511581;"mg/kg biomass";"HC";2170,1081675;702033,197375
"36";2017;"1st and 2nd gen cephalosporins";3,04529219862209;"mg/kg biomass";"HC";2146,28411;704787,577025
"37";2018;"1st and 2nd gen cephalosporins";3,08753757494495;"mg/kg biomass";"HC";2186,2568475;708090,766325
"38";2019;"1st and 2nd gen cephalosporins";3,03679475453342;"mg/kg biomass";"HC";2162,585355;712127,598275
"39";2020;"1st and 2nd gen cephalosporins";2,60277952743151;"mg/kg biomass";"HC";1866,069485;716952,57525
"40";2021;"1st and 2nd gen cephalosporins";2,96477164622228;"mg/kg biomass";"HC";2133,9427515;719766,31125
"41";2012;"Aminoglycosides";0,166723061191883;"mg/kg biomass";"HC";114,5758662;687222,663625
"42";2013;"Aminoglycosides";0,14181411738242;"mg/kg biomass";"HC";98,00378076;691072,106
"43";2014;"Aminoglycosides";0,129512596966987;"mg/kg biomass";"HC";89,8445298;693712,672775
"44";2015;"Aminoglycosides";0,122494401893489;"mg/kg biomass";"HC";85,41040162;697259,632275
"45";2016;"Aminoglycosides";0,112516846304928;"mg/kg biomass";"HC";78,99056137;702033,197375
"46";2017;"Aminoglycosides";0,103584118945687;"mg/kg biomass";"HC";73,00480021;704787,577025
"47";2018;"Aminoglycosides";0,0991969822379536;"mg/kg biomass";"HC";70,24046717;708090,766325
"48";2019;"Aminoglycosides";0,0998329575657675;"mg/kg biomass";"HC";71,0938043;712127,598275
"49";2020;"Aminoglycosides";0,0928348075976871;"mg/kg biomass";"HC";66,55815438;716952,57525
"50";2021;"Aminoglycosides";0,0861412799000323;"mg/kg biomass";"HC";62,00159128;719766,31125
"51";2012;"Trimethoprim & Sulphonam";0,33160445378494;"mg/kg biomass";"HC";227,886096;687222,663625
"52";2013;"Trimethoprim & Sulphonam";0,335499078007932;"mg/kg biomass";"HC";231,8540544;691072,106
"53";2014;"Trimethoprim & Sulphonam";0,338329904600322;"mg/kg biomass";"HC";234,7037424;693712,672775
"54";2015;"Trimethoprim & Sulphonam";0,383471979193175;"mg/kg biomass";"HC";267,3795312;697259,632275
"55";2016;"Trimethoprim & Sulphonam";0,426386468787038;"mg/kg biomass";"HC";299,337456;702033,197375
"56";2017;"Trimethoprim & Sulphonam";0,421821011736497;"mg/kg biomass";"HC";297,2942088;704787,577025
"57";2018;"Trimethoprim & Sulphonam";0,437306119958462;"mg/kg biomass";"HC";309,6524256;708090,766325
"58";2019;"Trimethoprim & Sulphonam";0,505462144806524;"mg/kg biomass";"HC";359,9535432;712127,598275
"59";2020;"Trimethoprim & Sulphonam";0,470812510133319;"mg/kg biomass";"HC";337,5502416;716952,57525
"60";2021;"Trimethoprim & Sulphonam";0,467161818974339;"mg/kg biomass";"HC";336,2473392;719766,31125
"61";2012;"1st and 2nd gen cephalosporins";8,65738961316695;"mg/kg biomass";"National";5949,55435;687222,663625
"62";2013;"1st and 2nd gen cephalosporins";8,67187185963486;"mg/kg biomass";"National";5992,888749;691072,106
"63";2014;"1st and 2nd gen cephalosporins";8,22564973791501;"mg/kg biomass";"National";5706,237465;693712,672775
"64";2015;"1st and 2nd gen cephalosporins";8,28121363653341;"mg/kg biomass";"National";5774,155975;697259,632275
"65";2016;"1st and 2nd gen cephalosporins";7,67362471339427;"mg/kg biomass";"National";5387,139293;702033,197375
"66";2017;"1st and 2nd gen cephalosporins";6,96912448887528;"mg/kg biomass";"National";4911,7523625;704787,577025
"67";2018;"1st and 2nd gen cephalosporins";7,2381140261157;"mg/kg biomass";"National";5125,2417075;708090,766325
"68";2019;"1st and 2nd gen cephalosporins";6,8762118008928;"mg/kg biomass";"National";4896,740195;712127,598275
"69";2020;"1st and 2nd gen cephalosporins";5,18052320434845;"mg/kg biomass";"National";3714,1894525;716952,57525
"70";2021;"1st and 2nd gen cephalosporins";5,57171937449441;"mg/kg biomass";"National";4010,3359015;719766,31125
"71";2012;"Aminoglycosides";0,1939747631384;"mg/kg biomass";"National";133,3038534;687222,663625
"72";2013;"Aminoglycosides";0,162334306423301;"mg/kg biomass";"National";112,184711016;691072,106
"73";2014;"Aminoglycosides";0,146028690458789;"mg/kg biomass";"National";101,30195316;693712,672775
"74";2015;"Aminoglycosides";0,13327701561726;"mg/kg biomass";"National";92,9286829;697259,632275
"75";2016;"Aminoglycosides";0,134635024502284;"mg/kg biomass";"National";94,51825673;702033,197375
"76";2017;"Aminoglycosides";0,126343100010177;"mg/kg biomass";"National";89,04504733;704787,577025
"77";2018;"Aminoglycosides";0,122036978759779;"mg/kg biomass";"National";86,41325781;708090,766325
"78";2019;"Aminoglycosides";0,114621643786482;"mg/kg biomass";"National";81,6252359;712127,598275
"79";2020;"Aminoglycosides";0,106027333863043;"mg/kg biomass";"National";76,01657006;716952,57525
"80";2021;"Aminoglycosides";0,0982791799148685;"mg/kg biomass";"National";70,7380428;719766,31125
"81";2012;"Trimethoprim & Sulphonam";3,34733577595638;"mg/kg biomass";"National";2300,365008;687222,663625
"82";2013;"Trimethoprim & Sulphonam";3,42335556168433;"mg/kg biomass";"National";2365,7855376;691072,106
"83";2014;"Trimethoprim & Sulphonam";2,36909177949103;"mg/kg biomass";"National";1643,4689904;693712,672775
"84";2015;"Trimethoprim & Sulphonam";2,74416452442116;"mg/kg biomass";"National";1913,3951472;697259,632275
"85";2016;"Trimethoprim & Sulphonam";2,72027924938697;"mg/kg biomass";"National";1909,7263392;702033,197375
"86";2017;"Trimethoprim & Sulphonam";2,51395765895736;"mg/kg biomass";"National";1771,8061272;704787,577025
"87";2018;"Trimethoprim & Sulphonam";2,80908805508565;"mg/kg biomass";"National";1989,0893136;708090,766325
"88";2019;"Trimethoprim & Sulphonam";2,91877123065428;"mg/kg biomass";"National";2078,5375464;712127,598275
"89";2020;"Trimethoprim & Sulphonam";2,97271638428361;"mg/kg biomass";"National";2131,2966672;716952,57525
"90";2021;"Trimethoprim & Sulphonam";3,17576745156395;"mg/kg biomass";"National";2285,810424;719766,31125
